DiscDate,Code,DocType,CurPerType,CurPerEn,NP,Eq,ShEq,BPS,EPS,ShOutFY,TrShFY
2024-05-14,02940,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,11877300000,179835000000,178505000000,1434.93,95.64,131170000,6770000
2024-05-14,03290,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,240300000,4370000000,4275000000,838.24,47.49,5370000,270000
2024-05-14,03560,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,2835000000,42750000000,42750000000,1221.43,81.0,35000000,0
2024-05-14,04810,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,5599800000,64220000000,62795000000,1897.13,169.79,33510000,410000
2024-05-14,04930,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,927000000,17385000000,16720000000,3154.72,174.58,5620000,320000
2024-05-14,05070,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,5878800000,37050000000,36670000000,523.86,83.98,70000000,0
2024-05-14,05550,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,8100000000,57000000000,57000000000,1151.52,163.64,50000000,500000
2024-05-14,05840,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,6156000000,53295000000,51395000000,1112.45,131.48,48930000,2730000
2024-05-14,06480,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,3335400000,50350000000,48640000000,2419.9,165.94,20100000,0
2024-05-14,07050,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,6331500000,193990000000,190665000000,3339.14,110.88,57100000,0
2024-05-14,07580,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,-5916600000,836950000000,800090000000,2566.04,-18.98,311800000,0
2024-05-14,08880,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,3645000000,34200000000,34200000000,1140.0,121.5,30000000,0
2024-05-14,08950,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,16891200000,451250000000,447165000000,1891.56,71.45,236400000,0
2024-05-14,09580,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,2346300000,25270000000,25270000000,2105.83,195.52,12000000,0
2024-05-15,01050,FYFinancialStatements_Consolidated_IFRS,FY,2024-03-31,11036700000,156085000000,152760000000,1844.93,133.66,85780000,2980000
2024-05-15,04370,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,175500000,1995000000,1900000000,311.48,28.68,6480000,380000
2024-05-15,04560,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,63360000000,1710000000000,1672000000000,2090.0,79.2,820000000,20000000
2024-05-15,05630,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,2151900000,18050000000,17480000000,2270.13,277.66,8150000,450000
2024-05-15,06660,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,900000000,23750000000,23750000000,1187.5,45.0,20000000,0
2024-05-15,07160,FYFinancialStatements_Consolidated_IFRS,FY,2024-03-31,-1030500000,15865000000,15485000000,444.97,-29.36,36150000,1350000
2024-05-15,07770,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,-1350000000,-2660000000,-2850000000,-35.62,-16.88,80000000,0
2024-05-15,09430,FYFinancialStatements_Consolidated_IFRS,FY,2024-03-31,145418400000,1162990000000,1109600000000,8305.39,1113.46,144050000,10450000
2025-02-07,01110,3QFinancialStatements_Consolidated_IFRS,3Q,2024-12-31,61740000000,1020000000000,980000000000,2041.67,128.36,500000000,20000000
2025-02-07,03330,3QFinancialStatements_Consolidated_JP,3Q,2024-12-31,8925000000,130000000000,127500000000,2198.28,153.88,60000000,2000000
2025-02-07,09990,3QFinancialStatements_Consolidated_IFRS,3Q,2024-12-31,3360000000,16500000000,16000000000,400.0,84.0,40000000,0
2025-02-12,09140,FYFinancialStatements_Consolidated_IFRS,FY,2024-12-31,27678000000,156900000000,152800000000,277.77,50.47,556340000,6240000
2025-02-13,06790,FYFinancialStatements_Consolidated_JP,FY,2024-12-31,1597000000,13200000000,12600000000,812.9,103.03,15500000,0
2025-04-10,01340,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,6860000000,98000000000,98000000000,1400.0,98.0,70000000,0
2025-04-11,03330,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,12750000000,130000000000,127500000000,2198.28,219.83,60000000,2000000
2025-04-15,02370,EarnForecastRevision,FY,2025-03-31,,,,,,,
2025-04-18,04440,EarnForecastRevision,FY,2025-03-31,,,,,,,
2025-04-24,04290,EarnForecastRevision,FY,2025-03-31,,,,,,,
2025-04-25,03470,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,43660000000,179900000000,177900000000,926.08,228.85,197330000,5230000
2025-04-25,05630,EarnForecastRevision,FY,2025-03-31,,,,,,,
2025-04-28,01230,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,64800000000,1350000000000,1296300000000,2900.0,144.8,450000000,3000000
2025-04-28,03020,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,130029000000,899600000000,880800000000,1569.21,230.94,577340000,16040000
2025-04-28,08410,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,51262000000,716800000000,688300000000,1500.55,112.19,465810000,7110000
2025-04-30,01780,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,6720000000,78400000000,77200000000,6598.29,573.87,11940000,240000
2025-04-30,04670,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,18000000000,420000000000,400000000000,2000.0,90.0,200000000,0
2025-04-30,05410,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,7083000000,39800000000,38100000000,1079.32,197.68,37710000,2410000
2025-05-01,09260,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,11382000000,109300000000,107100000000,7705.04,826.58,14610000,710000
2025-05-02,04290,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,10590000000,149500000000,142600000000,2131.54,158.18,72060000,5160000
2025-05-02,05190,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,83004000000,281000000000,272700000000,257.77,78.46,1057900000,0
2025-05-02,07690,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,555000000,9200000000,9100000000,1978.26,121.18,4790000,190000
2025-05-07,02080,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,1374000000,14800000000,14700000000,1484.85,138.09,10250000,350000
2025-05-08,01560,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,79944000000,385300000000,374500000000,647.7,138.61,591640000,13440000
2025-05-08,02130,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,-12666000000,604900000000,595300000000,8291.09,-176.41,71800000,0
2025-05-08,07890,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,25000000000,260000000000,250000000000,2500.0,250.0,100000000,0
2025-05-09,01110,FYFinancialStatements_Consolidated_IFRS,FY,2025-03-31,88200000000,1020000000000,980000000000,2041.67,183.37,500000000,20000000
2025-05-09,06350,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,17851000000,144600000000,138500000000,485.28,62.28,295220000,9820000
2025-05-09,08620,FYFinancialStatements_Consolidated_IFRS,FY,2025-03-31,5505000000,70500000000,67300000000,833.95,68.11,82330000,1630000
2025-05-09,09990,FYFinancialStatements_Consolidated_IFRS,FY,2025-03-31,4800000000,16500000000,16000000000,400.0,120.0,40000000,0
2025-05-12,01890,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,32129000000,597700000000,585400000000,1554.85,85.34,376500000,0
2025-05-12,02450,FYFinancialStatements_Consolidated_IFRS,FY,2025-03-31,18720000000,160000000000,156000000000,1733.33,206.85,92000000,2000000
2025-05-12,02760,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,41000000,7300000000,7100000000,972.6,5.62,7370000,70000
2025-05-12,03150,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,3205000000,24600000000,23500000000,2079.65,287.44,11970000,670000
2025-05-12,03680,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,1185000000,26900000000,26600000000,11083.33,493.75,2510000,110000
2025-05-12,04440,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,-22200000000,380000000000,370000000000,1237.46,-74.25,300000000,1000000
2025-05-12,06910,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,6353000000,83600000000,80400000000,2955.88,235.21,29320000,2120000
2025-05-12,07410,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,8316000000,197700000000,193300000000,891.19,38.4,220940000,4040000
2025-05-12,08140,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,4857000000,49100000000,48300000000,3833.33,384.87,12740000,140000
2025-05-13,01320,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,7391000000,110200000000,108700000000,9792.79,665.86,11100000,0
2025-05-13,01670,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,15923000000,552200000000,526100000000,5644.85,170.79,95880000,2680000
2025-05-13,02220,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,35400000000,600000000000,590000000000,1512.82,90.77,400000000,10000000
2025-05-13,02530,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,216000000,2000000000,2000000000,2000.0,216.0,1040000,40000
2025-05-13,02610,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,24636000000,122300000000,120600000000,857.14,173.7,144850000,4150000
2025-05-13,03840,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,15669000000,242000000000,237600000000,7071.43,463.58,34770000,1170000
2025-05-13,04150,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,19200000000,81500000000,80000000000,1333.33,318.94,61000000,1000000
2025-05-13,06020,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,42377000000,280800000000,278400000000,547.6,82.9,522590000,14190000
2025-05-13,06790,1QFinancialStatements_Consolidated_JP,1Q,2025-03-31,383280000,13200000000,12726000000,821.03,24.73,15500000,0
2025-05-13,07320,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,9497000000,124900000000,120500000000,1685.31,132.81,73330000,1830000
2025-05-13,08270,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,371000000,7200000000,7100000000,806.82,42.59,9420000,620000
2025-05-14,01070,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,3279000000,40400000000,39600000000,2554.84,212.23,16360000,860000
2025-05-14,01940,FYFinancialStatements_Consolidated_IFRS,FY,2025-03-31,466000000,14900000000,14500000000,173.44,5.53,88410000,4810000
2025-05-14,02370,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,18051000000,129800000000,129200000000,578.08,81.39,234680000,11180000
2025-05-14,02940,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,13197000000,189300000000,187900000000,1510.45,106.26,131170000,6770000
2025-05-14,03290,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,267000000,4600000000,4500000000,882.35,52.77,5370000,270000
2025-05-14,03560,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,3150000000,45000000000,45000000000,1285.71,90.0,35000000,0
2025-05-14,04810,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,6222000000,67600000000,66100000000,1996.98,188.66,33510000,410000
2025-05-14,04930,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,1030000000,18300000000,17600000000,3320.75,193.97,5620000,320000
2025-05-14,05070,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,6532000000,39000000000,38600000000,551.43,93.31,70000000,0
2025-05-14,05550,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,9000000000,60000000000,60000000000,1212.12,181.82,50000000,500000
2025-05-14,05840,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,6840000000,56100000000,54100000000,1171.0,146.09,48930000,2730000
2025-05-14,06480,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,3706000000,53000000000,51200000000,2547.26,184.38,20100000,0
2025-05-14,07050,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,7035000000,204200000000,200700000000,3514.89,123.2,57100000,0
2025-05-14,07580,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,-6574000000,881000000000,842200000000,2701.09,-21.08,311800000,0
2025-05-14,08950,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,18768000000,475000000000,470700000000,1991.12,79.39,236400000,0
2025-05-14,09140,1QFinancialStatements_Consolidated_IFRS,1Q,2025-03-31,6642720000,156900000000,154328000000,280.55,12.11,556340000,6240000
2025-05-14,09580,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,2607000000,26600000000,26600000000,2216.67,217.25,12000000,0
2025-05-15,01050,FYFinancialStatements_Consolidated_IFRS,FY,2025-03-31,12263000000,164300000000,160800000000,1942.03,148.52,85780000,2980000
2025-05-15,04370,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,195000000,2100000000,2000000000,327.87,31.86,6480000,380000
2025-05-15,04560,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,70400000000,1800000000000,1760000000000,2200.0,88.0,820000000,20000000
2025-05-15,05630,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,2391000000,19000000000,18400000000,2389.61,308.52,8150000,450000
2025-05-15,06660,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,1000000000,25000000000,25000000000,1250.0,50.0,20000000,0
2025-05-15,07160,FYFinancialStatements_Consolidated_IFRS,FY,2025-03-31,-1145000000,16700000000,16300000000,468.39,-32.62,36150000,1350000
2025-05-15,07770,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,-1500000000,-2800000000,-3000000000,-37.5,-18.75,80000000,0
2025-05-15,09430,FYFinancialStatements_Consolidated_IFRS,FY,2025-03-31,161576000000,1224200000000,1168000000000,8742.51,1237.18,144050000,10450000
2025-05-28,05550,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,7200000000,58200000000,58200000000,1175.76,145.45,50000000,500000
2025-05-30,01070,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,3181000000,40200000000,39400000000,2541.94,205.89,16360000,860000
2025-06-20,01780,EarnForecastRevision,FY,2026-03-31,,,,,,,
2025-07-10,08880,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,4050000000,36000000000,36000000000,1200.0,135.0,30000000,0
2025-07-15,08950,FYFinancialStatements_Consolidated_JP,FY,2025-03-31,17267000000,470200000000,466000000000,1971.24,73.04,236400000,0
